Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,243.179993,253.199997,238.720001,247.839996,246.234528,21359700
2018-08-21,248.500000,253.500000,247.699997,253.320007,251.679016,16849700
2018-08-22,252.000000,263.019989,251.860001,262.820007,261.117462,18746400
2018-08-23,261.260010,269.480011,260.700012,266.839996,265.111450,18017100
2018-08-24,267.179993,272.809998,267.000000,272.220001,270.456604,13287800
2018-08-27,273.420013,278.899994,272.149994,275.899994,274.112793,12644400
2018-08-28,275.660004,276.579987,269.529999,274.380005,272.602570,11884600
2018-08-29,273.920013,279.500000,273.079987,278.489990,276.837311,10502700
2018-08-30,277.230011,281.720001,276.320007,277.809998,276.161346,8665200
2018-08-31,277.000000,281.200012,276.600006,280.679993,279.014343,7664800
2018-09-04,280.149994,285.220001,279.000000,283.700012,282.016388,9793000
2018-09-05,282.989990,284.420013,275.149994,278.420013,276.767761,9828900
2018-09-06,277.760010,277.859985,271.390015,272.720001,271.101563,8069900
2018-09-07,269.000000,276.929993,267.190002,271.859985,270.246674,7385500
2018-09-10,272.769989,275.929993,271.000000,274.730011,273.099640,5503500
2018-09-11,272.859985,276.399994,272.019989,272.799988,271.181061,6077800
2018-09-12,271.190002,271.980011,261.920013,268.200012,266.608368,10477300
2018-09-13,270.859985,275.000000,270.160004,271.339996,269.729767,7638400
2018-09-14,274.989990,279.100006,273.500000,276.429993,274.789551,9673400
2018-09-17,275.399994,277.380005,273.149994,273.929993,272.304352,5138200
2018-09-18,274.089996,278.239990,270.750000,271.019989,269.411621,7488000
2018-09-19,270.269989,272.700012,268.250000,271.980011,270.365967,5621500
2018-09-20,267.049988,268.760010,264.100006,266.279999,264.699768,10764600
2018-09-21,266.760010,268.600006,262.109985,263.450012,261.886597,10878200
2018-09-24,262.200012,265.839996,258.679993,265.700012,264.123230,7347800
2018-09-25,268.369995,269.420013,264.910004,268.410004,266.817139,7009700
2018-09-26,268.609985,270.239990,266.279999,266.920013,265.335999,6713700
2018-09-27,268.339996,269.200012,266.130005,267.399994,265.813141,5360700
2018-09-28,272.730011,281.920013,271.600006,281.019989,279.352325,17734900
2018-10-01,284.160004,292.059998,282.600006,289.359985,287.642822,15551500
2018-10-02,288.250000,292.760010,285.579987,286.480011,284.779907,9599100
2018-10-03,289.320007,289.619995,282.529999,286.730011,285.028381,8013800
2018-10-04,285.269989,286.250000,276.179993,279.290009,277.632599,9780500
2018-10-05,278.290009,280.799988,267.540009,269.859985,268.258514,10665900
2018-10-08,266.500000,271.160004,260.079987,265.769989,264.192780,10215300
2018-10-09,264.940002,268.760010,262.799988,265.540009,263.964203,6837500
2018-10-10,261.260010,263.109985,245.600006,245.690002,244.231964,17123500
2018-10-11,242.169998,247.559998,234.259995,235.130005,233.734634,18135900
2018-10-12,245.509995,249.539993,239.649994,246.539993,245.076920,15205900
2018-10-15,246.000000,246.000000,235.339996,235.380005,233.983154,11244000
2018-10-16,239.929993,246.279999,237.940002,245.830002,244.371155,10217800
2018-10-17,248.339996,249.880005,241.080002,243.059998,241.617569,8241700
2018-10-18,245.860001,247.410004,237.089996,239.529999,238.108536,13100500
2018-10-19,241.759995,242.550003,227.699997,229.169998,227.810013,15340200
2018-10-22,231.279999,235.320007,227.070007,231.220001,229.847855,9221100
2018-10-23,220.429993,224.190002,216.710007,221.059998,219.748138,15660900
2018-10-24,219.509995,221.389999,198.850006,199.410004,198.226608,22107200
2018-10-25,195.470001,209.750000,193.679993,207.839996,206.606567,23793000
2018-10-26,198.309998,204.839996,193.119995,198.289993,197.113251,16619600
2018-10-29,203.990005,204.130005,176.009995,185.619995,184.518448,18950400
2018-10-30,186.550003,203.399994,185.619995,203.000000,201.795303,20179800
2018-10-31,209.649994,212.589996,204.009995,210.830002,209.578857,18644300
